id,label,timeset,indegree,outdegree,degree,weighted indegree,weighted outdegree,weighted degree,modularity_class,pageranks,componentnumber,strongcompnum,atp count,qual count,future count,comp color
1,Miles Bugby,,12,38,50,12.0,39.0,51.0,1,3.48627488211884E-5,0,9,0,3,48,brown
2,Benjamin Bonzi,,44,34,78,46.0,36.0,82.0,5,1.0318860845000417E-4,0,9,0,0,82,purple
3,Cedric Pucheux,,0,2,2,0.0,2.0,2.0,5,1.3162540327839612E-5,0,10,0,0,2,purple
4,Manuel Fierro,,0,1,1,0.0,1.0,1.0,4,1.3162540327839612E-5,0,11,0,0,1,green
5,Remigio Burzio,,3,12,15,3.0,12.0,15.0,5,1.6412090599512137E-5,0,9,0,0,15,purple
6,Eduard Schneider,,0,1,1,0.0,1.0,1.0,0,1.3162540327839612E-5,0,13,0,0,1,dark green
7,Alejandro Mendoza,,33,49,82,33.0,58.0,91.0,4,9.9027753786886E-5,0,9,0,5,86,green
8,Victor Poncelet,,4,9,13,4.0,9.0,13.0,5,2.217903692797736E-5,0,9,0,0,13,purple
9,Esteban Bruna,,5,28,33,5.0,32.0,37.0,4,2.1428794439379928E-5,0,9,0,0,37,green
10,Shao Fan Liu,,6,10,16,6.0,11.0,17.0,2,3.737743398972818E-5,0,9,0,0,17,blue
11,Guillermo Nunez,,19,25,44,21.0,29.0,50.0,4,6.034101933514269E-5,0,9,0,1,49,green
12,Milen Ianakiev,,3,11,14,3.0,11.0,14.0,5,1.5580996671778274E-5,0,9,0,0,14,purple
13,Pablo Garcia Gaitan,,0,1,1,0.0,1.0,1.0,3,1.3162540327839612E-5,0,14,0,1,0,red
14,Maxim Levanovich,,1,1,2,1.0,1.0,2.0,2,1.4473860535731738E-5,0,9,0,0,2,blue
15,Scott Clayton,,31,53,84,33.0,60.0,93.0,1,7.440448675917591E-5,0,9,0,1,92,brown
16,Raoul Behr,,0,1,1,0.0,1.0,1.0,3,1.3162540327839612E-5,0,15,1,0,0,red
17,Sung Jun Park,,4,11,15,4.0,11.0,15.0,2,2.751610685550753E-5,0,9,0,0,15,blue
18,Goncalo Andrade,,0,2,2,0.0,2.0,2.0,5,1.3162540327839612E-5,0,16,0,1,1,purple
19,Garvit Batra,,4,11,15,4.0,11.0,15.0,2,2.8950522230959715E-5,0,9,0,0,15,blue
20,Trenton Hagan,,0,1,1,0.0,1.0,1.0,5,1.3162540327839612E-5,0,17,0,0,1,purple
21,Aljaz Bedene,,217,99,316,264.0,133.0,397.0,3,9.079290397914837E-4,0,9,95,202,100,red
22,Ben Fatael,,29,28,57,31.0,34.0,65.0,0,7.596035447253273E-5,0,9,1,0,64,dark green
23,Alexis Gautier,,5,8,13,5.0,8.0,13.0,5,3.152981154154961E-5,0,9,0,0,13,purple
24,Vegerd Veskimagi,,0,1,1,0.0,1.0,1.0,4,1.3162540327839612E-5,0,18,0,0,1,green
25,Riski Bagus Saputra,,1,5,6,1.0,5.0,6.0,2,1.7684421600877648E-5,0,19,0,0,6,blue
26,Rohan Bopanna,,116,87,203,127.0,111.0,238.0,3,3.611403635516802E-4,0,9,40,134,64,red
27,David Thomson,,0,1,1,0.0,1.0,1.0,1,1.3162540327839612E-5,0,20,0,1,0,brown
28,Mario Haider Maurer,,39,36,75,45.0,39.0,84.0,5,1.0955350792514269E-4,0,9,0,1,83,purple
29,Thomas Statzberger,,32,60,92,33.0,61.0,94.0,5,7.880464714183488E-5,0,9,0,0,94,purple
30,Lorenzo Cava,,0,3,3,0.0,3.0,3.0,4,1.3162540327839612E-5,0,21,0,2,1,green
31,Shi Hong Zeng,,1,3,4,1.0,3.0,4.0,2,1.5801334289045948E-5,0,9,0,0,4,blue
32,Alen Rogic Hadzalic,,0,2,2,0.0,2.0,2.0,5,1.3162540327839612E-5,0,22,0,0,2,purple
33,Vadim Pinko,,0,2,2,0.0,2.0,2.0,1,1.3162540327839612E-5,0,23,0,0,2,brown
34,Naser Al Obaidly,,1,11,12,1.0,12.0,13.0,5,1.4760848860972905E-5,0,24,4,0,9,purple
35,Tristan Meraut,,3,6,9,3.0,6.0,9.0,5,1.8839347195180856E-5,0,9,0,1,8,purple
36,Isa Mammetgulyyev,,5,9,14,5.0,10.0,15.0,2,2.69402909616952E-5,0,9,0,1,14,blue
37,Casey Watt,,0,1,1,0.0,1.0,1.0,2,1.3162540327839612E-5,0,25,0,0,1,blue
38,Jose E Gracia,,0,1,1,0.0,1.0,1.0,5,1.3162540327839612E-5,0,26,0,0,1,purple
39,Andrea Arnaboldi,,259,225,484,323.0,308.0,631.0,5,9.238777276380373E-4,0,9,5,348,278,purple
40,Jannick Lupescu,,12,28,40,13.0,29.0,42.0,5,5.043497460205132E-5,0,9,0,3,39,purple
41,Maik Ulrich,,0,1,1,0.0,1.0,1.0,0,1.3162540327839612E-5,0,27,0,0,1,dark green
42,Francesco Piccari,,180,132,312,229.0,150.0,379.0,5,6.151974529471189E-4,0,9,2,52,325,purple
43,Joseph Davenport,,0,1,1,0.0,1.0,1.0,2,1.3162540327839612E-5,0,28,0,0,1,blue
44,Cecil Mamiit,,83,84,167,98.0,112.0,210.0,3,3.068719081210193E-4,0,9,29,160,21,red
45,Patrick Frandji,,1,7,8,1.0,7.0,8.0,4,2.435070005977266E-5,0,29,0,1,7,green
46,Gilbert Wong,,0,3,3,0.0,3.0,3.0,2,1.3162540327839612E-5,0,30,2,0,1,blue
47,Bryce Durham,,0,1,1,0.0,1.0,1.0,2,1.3162540327839612E-5,0,31,0,0,1,blue
48,Gonzalo Escobar,,79,56,135,94.0,61.0,155.0,4,2.3463562913256816E-4,0,9,6,36,113,green
49,Nicolas Pizzi,,2,9,11,2.0,9.0,11.0,4,2.521132773145982E-5,0,33,0,0,11,green
50,Dennis Nevolo,,64,72,136,76.0,84.0,160.0,2,2.0858161463513928E-4,0,9,0,37,123,blue
51,Ji Hoon Son,,16,16,32,17.0,17.0,34.0,2,5.110580696239633E-5,0,9,0,0,34,blue
52,Antonio Veic,,241,173,414,284.0,232.0,516.0,3,9.15107760681554E-4,0,9,35,356,125,red
53,Levente Godry,,25,49,74,26.0,57.0,83.0,5,5.703963153727886E-5,0,9,0,1,82,purple
54,Stefan Kozlov,,53,37,90,56.0,45.0,101.0,2,1.7159848725255085E-4,0,9,4,26,71,blue
55,Michal Nevrela,,0,2,2,0.0,2.0,2.0,2,1.3162540327839612E-5,0,34,0,0,2,blue
56,Wilfredo Gherson Pino Quijano,,0,3,3,0.0,3.0,3.0,4,1.3162540327839612E-5,0,35,0,0,3,green
57,Felix Mantilla,,23,21,44,25.0,26.0,51.0,3,1.1089889472813149E-4,0,9,33,18,0,red
58,Maxim Filippov,,4,13,17,4.0,14.0,18.0,0,2.2703202491910103E-5,0,9,0,12,6,dark green
59,Dayne Kelly,,128,105,233,151.0,126.0,277.0,2,3.3904194050742985E-4,0,9,0,28,249,blue
60,Marco Picardi,,0,1,1,0.0,1.0,1.0,4,1.3162540327839612E-5,0,36,0,0,1,green
61,Yury Shirshov,,2,11,13,2.0,11.0,13.0,5,1.7149705247379008E-5,0,9,0,1,12,purple
62,Breno Lodis,,0,2,2,0.0,2.0,2.0,4,1.3162540327839612E-5,0,37,0,1,1,green
63,Mark Mccook,,11,16,27,11.0,18.0,29.0,2,3.576905515117677E-5,0,9,0,0,29,blue
64,Anderson Reed,,3,19,22,3.0,20.0,23.0,2,2.0646920422768925E-5,0,9,0,0,23,blue
65,Florian Barth,,21,37,58,22.0,39.0,61.0,1,6.760020227517026E-5,0,9,0,3,58,brown
66,Abderrahmane Kamel Djellal,,0,1,1,0.0,1.0,1.0,5,1.3162540327839612E-5,0,38,0,0,1,purple
67,Joseph Gill,,0,3,3,0.0,3.0,3.0,2,1.3162540327839612E-5,0,40,0,0,3,blue
68,Zach Itzstein,,14,47,61,14.0,50.0,64.0,2,3.926681191922647E-5,0,9,0,1,63,blue
69,Lamine Ouahab,,269,144,413,353.0,179.0,532.0,5,0.0010799350626398677,0,9,27,230,275,purple
70,Christoph Negritu,,23,34,57,24.0,37.0,61.0,5,5.7095256473414746E-5,0,9,0,0,61,purple
71,Enric Guaita Pais,,4,30,34,4.0,30.0,34.0,5,1.8913781644689176E-5,0,9,0,0,34,purple
72,Aayush Mintri,,1,3,4,1.0,3.0,4.0,2,1.7547687108757803E-5,0,9,0,0,4,blue
73,Jae Sung An,,113,99,212,143.0,120.0,263.0,2,3.238852712414742E-4,0,9,5,41,217,blue
74,David Gonzalez Rodriguez,,0,1,1,0.0,1.0,1.0,5,1.3162540327839612E-5,0,41,0,0,1,purple
75,Christopher Grant,,1,2,3,1.0,2.0,3.0,2,1.4760848860972905E-5,0,42,0,0,3,blue
76,Rodrigo Gomez Saigos,,25,32,57,27.0,42.0,69.0,4,7.886240651806904E-5,0,9,0,0,69,green
77,Jerzy Janowicz,,231,148,379,299.0,186.0,485.0,3,0.001106655909146219,0,9,182,191,112,red
78,Sun Yong Kim Jr,,45,73,118,46.0,82.0,128.0,2,1.3632667346593974E-4,0,9,4,15,109,blue
79,Juan Pablo Yunis,,24,40,64,26.0,43.0,69.0,4,6.655702929234784E-5,0,9,0,4,65,green
80,Brian Livingston,,0,1,1,0.0,1.0,1.0,4,1.3162540327839612E-5,0,43,0,0,1,green
81,Robert A Allan,,0,1,1,0.0,1.0,1.0,5,1.3162540327839612E-5,0,44,0,0,1,purple
82,Tomas Charlos,,2,3,5,2.0,3.0,5.0,5,1.6876479403032773E-5,0,9,0,0,5,purple
83,Idio Escobar,,33,63,96,35.0,80.0,115.0,4,8.060743296737953E-5,0,9,0,1,114,green
84,Yuichi Hasegawa,,0,4,4,0.0,4.0,4.0,2,1.3162540327839612E-5,0,45,0,0,4,blue
85,Romain Barbosa,,63,63,126,67.0,75.0,142.0,5,1.834753595098034E-4,0,9,0,6,136,purple
86,Morten Lyngbaek,,0,1,1,0.0,1.0,1.0,5,1.3162540327839612E-5,0,46,0,0,1,purple
87,Tadej Turk,,1,10,11,1.0,11.0,12.0,5,1.4587371625324324E-5,0,9,0,0,12,purple
88,Baris Erguden,,87,108,195,90.0,121.0,211.0,0,1.7450079284420686E-4,0,9,2,19,190,dark green
89,Petr Frelich,,5,11,16,5.0,11.0,16.0,5,3.308786197599499E-5,0,9,0,0,16,purple
90,Juan Jose Rosas,,2,9,11,2.0,10.0,12.0,4,1.6409931191769033E-5,0,9,0,0,12,green
91,Marc Giner,,210,134,344,277.0,181.0,458.0,5,6.235034060524517E-4,0,9,0,24,434,purple
92,Kosuke Naruse,,9,22,31,9.0,24.0,33.0,2,2.865909767898946E-5,0,9,0,0,33,blue
93,Hayden Sabatka,,0,1,1,0.0,1.0,1.0,2,1.3162540327839612E-5,0,47,0,0,1,blue
94,Yen Hsun Lu,,282,176,458,407.0,284.0,691.0,3,0.0015098237268333684,0,9,326,365,0,red
95,Nobuaki Tadaki,,0,1,1,0.0,1.0,1.0,2,1.3162540327839612E-5,0,48,0,0,1,blue
96,San Hui Sin,,1,2,3,1.0,2.0,3.0,2,1.503049262303326E-5,0,9,0,0,3,blue
97,Rodrigo Castano,,0,1,1,0.0,1.0,1.0,5,1.3162540327839612E-5,0,49,0,0,1,purple
98,Inigo Ojer,,0,1,1,0.0,1.0,1.0,4,1.3162540327839612E-5,0,50,0,0,1,green
99,Domenico Sano,,0,1,1,0.0,1.0,1.0,4,1.3162540327839612E-5,0,53,0,0,1,green
100,Alexander Farquharson,,2,4,6,2.0,4.0,6.0,4,1.651760403138945E-5,0,9,0,0,6,green
101,Martin Kildahl,,0,4,4,0.0,4.0,4.0,1,1.3162540327839612E-5,0,54,0,0,4,brown
102,Daniel Dudockin,,4,11,15,4.0,12.0,16.0,0,1.7451159300926013E-5,0,9,0,0,16,dark green
103,Aaron Leeder Chard,,13,34,47,13.0,39.0,52.0,2,4.341096543134445E-5,0,9,0,0,52,blue
104,Alvaro Dominguez,,1,3,4,1.0,3.0,4.0,5,1.6030732339718016E-5,0,9,0,0,4,purple
105,Gian Marco Saccone,,0,1,1,0.0,1.0,1.0,5,1.3162540327839612E-5,0,55,0,0,1,purple
106,Skander Mansouri,,8,17,25,8.0,19.0,27.0,5,3.812020157290027E-5,0,9,0,2,25,purple
107,Jordan Benjamin,,0,1,1,0.0,1.0,1.0,2,1.3162540327839612E-5,0,56,0,0,1,blue
108,Michael Bois,,58,82,140,58.0,88.0,146.0,5,1.1777488557067403E-4,0,9,0,3,143,purple
109,Ezequiel Cerrini,,0,1,1,0.0,1.0,1.0,5,1.3162540327839612E-5,0,57,0,0,1,purple
110,Pawel Safuryn,,0,1,1,0.0,1.0,1.0,5,1.3162540327839612E-5,0,58,0,0,1,purple
111,Jeremy Efferding,,13,17,30,13.0,18.0,31.0,2,3.507679837355744E-5,0,9,0,0,31,blue
112,Emilio Sanchis Hernandez,,0,4,4,0.0,4.0,4.0,0,1.3162540327839612E-5,0,59,0,0,4,dark green
113,Artur Gusev,,0,5,5,0.0,5.0,5.0,0,1.3162540327839612E-5,0,60,0,2,3,dark green
114,Dominic Stoeckler,,4,14,18,4.0,14.0,18.0,1,2.1938965477551133E-5,0,9,0,0,18,brown
115,Vasil Yehorov,,0,1,1,0.0,1.0,1.0,5,1.3162540327839612E-5,0,61,0,0,1,purple
116,Jeroen Benard,,24,33,57,24.0,34.0,58.0,5,6.773899523173494E-5,0,9,0,1,57,purple
117,Sarvar Ikramov,,76,92,168,83.0,113.0,196.0,0,2.152119889263354E-4,0,9,6,32,158,dark green
118,Ivan Polyakov,,1,7,8,1.0,7.0,8.0,0,2.435070005977266E-5,0,63,0,0,8,dark green
119,Jeong Han Seo,,0,3,3,0.0,4.0,4.0,2,1.3162540327839612E-5,0,64,0,0,4,blue
120,Marek Czerwinski,,7,15,22,7.0,15.0,22.0,1,3.429469857998073E-5,0,9,0,0,22,brown
121,Ahmad Rabeea Muhammad,,9,23,32,9.0,24.0,33.0,2,4.0673176304427405E-5,0,9,13,0,20,blue
122,Jukka Kohtamaki,,0,4,4,0.0,4.0,4.0,1,1.3162540327839612E-5,0,65,0,0,4,brown
123,Rodrigo Schaefer,,0,2,2,0.0,2.0,2.0,4,1.3162540327839612E-5,0,66,0,1,1,green
124,Nomi Qamar,,0,3,3,0.0,3.0,3.0,2,1.3162540327839612E-5,0,67,0,0,3,blue
125,Ilya Polonskiy,,9,23,32,9.0,23.0,32.0,0,2.8870512087164342E-5,0,9,0,0,32,dark green
126,Damien Spizzo,,0,1,1,0.0,1.0,1.0,3,1.3162540327839612E-5,0,68,0,1,0,red
127,Yehonatan Kaufman,,1,7,8,1.0,7.0,8.0,0,1.3699702563455118E-5,0,9,0,0,8,dark green
128,Johann Coles,,0,1,1,0.0,1.0,1.0,2,1.3162540327839612E-5,0,69,1,0,0,blue
129,Lucas Santana,,3,9,12,3.0,10.0,13.0,4,2.8201849335285834E-5,0,9,0,0,13,green
130,Yi Wei Huang,,0,1,1,0.0,1.0,1.0,2,1.3162540327839612E-5,0,70,0,0,1,blue
131,Kevin Deich,,0,1,1,0.0,1.0,1.0,4,1.3162540327839612E-5,0,71,0,0,1,green
132,Oleksander Kyrychenko,,0,2,2,0.0,2.0,2.0,0,1.3162540327839612E-5,0,72,0,0,2,dark green
133,Patricio Alvarado,,13,20,33,13.0,22.0,35.0,4,5.745790641194298E-5,0,9,1,8,26,green
134,Martin Augusto Miranda,,0,1,1,0.0,1.0,1.0,1,1.3162540327839612E-5,0,73,0,0,1,brown
135,Jose Miguel Antelo,,0,4,4,0.0,4.0,4.0,4,1.3162540327839612E-5,0,74,0,0,4,green
136,Saitejas Mopuri,,0,1,1,0.0,1.0,1.0,5,1.3162540327839612E-5,0,75,0,0,1,purple
137,Yannick Ebbinghaus,,9,17,26,9.0,17.0,26.0,5,2.3858982003369606E-5,0,9,0,0,26,purple
138,Thomas Morton,,0,2,2,0.0,2.0,2.0,2,1.3162540327839612E-5,0,76,0,2,0,blue
139,Eduardo Schwank,,196,140,336,272.0,174.0,446.0,3,9.638764970346374E-4,0,9,104,241,101,red
140,Christian Lindell,,176,127,303,214.0,155.0,369.0,4,5.190038852775631E-4,0,9,15,89,265,green
141,Mate Zsiga,,3,7,10,3.0,7.0,10.0,5,2.1345162496174427E-5,0,9,0,0,10,purple
142,Andres Pedroso,,9,11,20,11.0,11.0,22.0,3,4.013341157245209E-5,0,9,0,0,22,red
143,Jan Pavlicek,,0,2,2,0.0,2.0,2.0,0,1.3162540327839612E-5,0,77,0,0,2,dark green
144,Joffrey De Schepper,,15,24,39,15.0,26.0,41.0,5,4.103996690502991E-5,0,9,0,0,41,purple
145,Bart Govaerts,,26,41,67,27.0,45.0,72.0,1,6.163798200510677E-5,0,9,0,0,72,brown
146,Runhao Hua,,2,6,8,2.0,6.0,8.0,2,2.5661723679804793E-5,0,9,0,1,7,blue
147,Eduardo Dischinger,,84,98,182,107.0,140.0,247.0,4,2.096963721645897E-4,0,9,0,6,241,green
148,Abhilash Srivastava,,0,1,1,0.0,1.0,1.0,2,1.3162540327839612E-5,0,78,0,0,1,blue
149,Diego Alvarez,,150,118,268,169.0,136.0,305.0,4,4.6071776634100023E-4,0,9,0,77,228,green
150,Rami Osman,,0,2,2,0.0,2.0,2.0,2,1.3162540327839612E-5,0,80,2,0,0,blue
151,Frederik Nielsen,,271,187,458,320.0,219.0,539.0,3,9.170204341207185E-4,0,9,39,244,256,red
152,Erik Elliott,,5,10,15,5.0,10.0,15.0,5,2.67382042942106E-5,0,9,0,0,15,purple
153,Eric Butorac,,13,24,37,13.0,24.0,37.0,4,4.103189701844853E-5,0,9,0,17,20,green
154,Artem Pudovkin,,3,15,18,3.0,16.0,19.0,0,1.5787074030448208E-5,0,9,0,2,17,dark green
155,Peter Bjornlund,,0,1,1,0.0,1.0,1.0,1,1.3162540327839612E-5,0,81,0,0,1,brown
156,Marek Mrozek,,2,12,14,2.0,12.0,14.0,5,1.628084551254796E-5,0,9,0,0,14,purple
157,Kovit Ratanaphet,,0,1,1,0.0,1.0,1.0,3,1.3162540327839612E-5,0,82,0,1,0,red
158,Olivier Sajous,,65,60,125,68.0,68.0,136.0,4,2.046934838062233E-4,0,9,7,23,106,green
159,Niels De Moree,,0,3,3,0.0,3.0,3.0,4,1.3162540327839612E-5,0,83,0,0,3,green
160,Patricio Betancourt Gonzalez,,0,1,1,0.0,1.0,1.0,4,1.3162540327839612E-5,0,84,0,0,1,green
161,Feng Xue,,1,9,10,1.0,10.0,11.0,2,1.4577962196101423E-5,0,9,0,0,11,blue
162,Facundo Mena,,133,101,234,170.0,136.0,306.0,4,3.601496715715072E-4,0,9,0,18,288,green
163,Victor Begara,,0,1,1,0.0,1.0,1.0,4,1.3162540327839612E-5,0,87,0,0,1,green
164,Greg Jones,,179,141,320,221.0,188.0,409.0,2,6.378043387319103E-4,0,9,7,237,165,blue
165,Marcelo Michelucci,,0,3,3,0.0,3.0,3.0,4,1.3162540327839612E-5,0,89,0,2,1,green
166,Jonathan Wolff,,3,3,6,3.0,3.0,6.0,2,1.9120539841037652E-5,0,9,0,0,6,blue
167,Nicolas Tourte,,89,72,161,100.0,77.0,177.0,3,2.962220379431913E-4,0,9,0,57,120,red
168,Mlandeli Ndlela,,1,8,9,1.0,8.0,9.0,4,1.495262870952187E-5,0,9,0,0,9,green
169,Barry Fulcher,,1,1,2,1.0,1.0,2.0,1,1.5233714029145673E-5,0,9,0,0,2,brown
170,Rares Georgescu,,0,1,1,0.0,1.0,1.0,0,1.3162540327839612E-5,0,90,0,0,1,dark green
171,Ryslan Chekmarev,,0,1,1,0.0,1.0,1.0,0,1.3162540327839612E-5,0,91,0,0,1,dark green
172,Nick Rainey,,3,3,6,3.0,3.0,6.0,1,2.9360333287007046E-5,0,9,0,0,6,brown
173,Sebastian Baettger,,0,1,1,0.0,1.0,1.0,4,1.3162540327839612E-5,0,92,0,0,1,green
174,Ognian Kolev,,2,5,7,2.0,5.0,7.0,2,1.5933291073146663E-5,0,9,4,0,3,blue
175,Davide Scala,,2,3,5,2.0,3.0,5.0,5,1.6544121221195614E-5,0,9,0,0,5,purple
176,Andras Szekely,,6,19,25,6.0,22.0,28.0,0,2.028432746526191E-5,0,9,0,1,27,dark green
177,Mario Eckardt,,9,19,28,9.0,21.0,30.0,4,2.9899634288339198E-5,0,9,0,0,30,green
178,Brahamjot Singh,,0,1,1,0.0,1.0,1.0,5,1.3162540327839612E-5,0,93,0,0,1,purple
179,Mussa Hakizimana,,0,1,1,0.0,1.0,1.0,0,1.3162540327839612E-5,0,94,0,0,1,dark green
180,Robert Hodel,,10,29,39,10.0,32.0,42.0,0,5.4459916724683064E-5,0,9,0,0,42,dark green
181,Dragos Torge,,0,2,2,0.0,2.0,2.0,0,1.3162540327839612E-5,0,95,0,1,1,dark green
182,Yi Chen Li,,0,1,1,0.0,1.0,1.0,2,1.3162540327839612E-5,0,96,0,0,1,blue
183,Morgan Johansson,,13,27,40,13.0,28.0,41.0,1,3.3952323633068244E-5,0,9,0,2,39,brown
184,Jurek Stasiak,,28,24,52,28.0,25.0,53.0,2,7.790505869249788E-5,0,9,0,4,49,blue
185,Ahmed Ismail,,0,3,3,0.0,3.0,3.0,1,1.3162540327839612E-5,0,97,0,0,3,brown
186,Kevin Mario Gandini,,0,3,3,0.0,3.0,3.0,4,1.3162540327839612E-5,0,98,0,0,3,green
187,Federico Gaio,,183,127,310,210.0,151.0,361.0,5,4.695947123745251E-4,0,9,1,74,286,purple
188,Jonas Bjorkman,,57,66,123,65.0,80.0,145.0,3,2.818833565609053E-4,0,9,134,11,0,red
189,Izak Van Der Merwe,,182,147,329,216.0,189.0,405.0,3,6.990081752940762E-4,0,9,32,251,122,red
190,Gianni Ross,,1,1,2,1.0,1.0,2.0,2,2.435070005977266E-5,0,99,0,0,2,blue
191,Joel Kielbowicz,,19,30,49,19.0,31.0,50.0,4,5.372134009517869E-5,0,9,0,0,50,green
192,Juraj Masar,,53,59,112,59.0,66.0,125.0,5,1.401323556805575E-4,0,9,0,0,125,purple
193,Kevin Kylar,,5,17,22,5.0,17.0,22.0,2,2.627455444154716E-5,0,9,0,0,22,blue
194,Jan Tavcar,,5,13,18,5.0,13.0,18.0,5,2.694511099036191E-5,0,9,0,0,18,purple
195,Leonardo Kirche,,193,144,337,310.0,202.0,512.0,4,7.686015173162963E-4,0,9,0,92,420,green
196,Roger Perez Jane,,0,8,8,0.0,8.0,8.0,5,1.3162540327839612E-5,0,100,0,0,8,purple
197,Nicolai Ferrigno,,0,1,1,0.0,1.0,1.0,1,1.3162540327839612E-5,0,101,0,0,1,brown
198,Miguel Gallardo Valles,,230,120,350,326.0,159.0,485.0,4,6.923873287697662E-4,0,9,18,50,417,green
199,Cristian Villagran,,123,86,209,152.0,102.0,254.0,4,4.72190605166656E-4,0,9,0,121,133,green
200,Minh Quan Do,,9,18,27,9.0,18.0,27.0,2,3.4407780780104095E-5,0,9,3,3,21,blue
201,Ilija Vucic,,71,84,155,80.0,110.0,190.0,5,1.628817425881737E-4,0,9,0,3,187,purple
202,Nikola Cacic,,138,111,249,156.0,136.0,292.0,5,3.493245472902664E-4,0,9,0,35,257,purple
203,Miomir Kecmanovic,,4,5,9,4.0,5.0,9.0,5,1.9070475568518578E-5,0,9,0,0,9,purple
204,Lucas Zaghi Esper,,0,3,3,0.0,3.0,3.0,4,1.3162540327839612E-5,0,102,0,0,3,green
205,Dalwinder Singh,,1,4,5,1.0,5.0,6.0,2,1.4542116678537594E-5,0,9,0,0,6,blue
206,Peter Ashley,,3,5,8,3.0,5.0,8.0,1,1.7626097012432166E-5,0,9,0,0,8,brown
207,Anders Grinderslev,,0,2,2,0.0,2.0,2.0,2,1.3162540327839612E-5,0,104,0,0,2,blue
208,Luis Hormazabal,,6,6,12,6.0,6.0,12.0,4,2.9164835279296885E-5,0,9,0,0,12,green
209,Amir Soheil Mohseni,,6,19,25,6.0,20.0,26.0,0,3.045073201838456E-5,0,9,0,0,26,dark green
210,Amit Baran,,0,1,1,0.0,1.0,1.0,0,1.3162540327839612E-5,0,105,0,0,1,dark green
211,Colin Fleming,,81,65,146,96.0,75.0,171.0,1,2.5633108053182887E-4,0,9,3,35,133,brown
212,Thomas Brechemier,,20,25,45,21.0,26.0,47.0,5,5.973405402095439E-5,0,9,0,0,47,purple
213,Eric Claesson,,4,5,9,4.0,5.0,9.0,1,2.16811255093998E-5,0,9,0,0,9,brown
214,Mike Vermeer,,12,31,43,12.0,31.0,43.0,1,3.559976751432723E-5,0,9,4,0,39,brown
215,Vojtech Blazek,,0,2,2,0.0,2.0,2.0,5,1.3162540327839612E-5,0,106,0,0,2,purple
216,Patrick Ochan,,0,3,3,0.0,3.0,3.0,2,1.3162540327839612E-5,0,107,0,0,3,blue
217,Nicolas Dvorak,,0,1,1,0.0,1.0,1.0,2,1.3162540327839612E-5,0,108,0,0,1,blue
218,Dan Vasilescu,,2,14,16,2.0,15.0,17.0,0,1.6421542055307294E-5,0,9,0,0,17,dark green
219,Yao Yoholou,,0,1,1,0.0,1.0,1.0,2,1.3162540327839612E-5,0,109,0,0,1,blue
220,Vikram Aditya Menon,,0,1,1,0.0,1.0,1.0,2,1.3162540327839612E-5,0,110,0,0,1,blue
221,Laurentiu Nicolae Popescu,,0,1,1,0.0,1.0,1.0,5,1.3162540327839612E-5,0,111,0,0,1,purple
222,Muhammad Shafiq,,0,2,2,0.0,2.0,2.0,0,1.3162540327839612E-5,0,112,0,0,2,dark green
223,Jens Hauser,,11,23,34,11.0,26.0,37.0,5,3.426646787720861E-5,0,9,0,2,35,purple
224,Paul Rose,,2,3,5,2.0,3.0,5.0,3,1.5864793422747122E-5,0,9,0,1,4,red
225,David Brewer,,32,73,105,33.0,77.0,110.0,1,8.646614803306054E-5,0,9,0,2,108,brown
226,Marcin Chlebowski,,0,5,5,0.0,5.0,5.0,5,1.3162540327839612E-5,0,114,0,0,5,purple
227,Thomas Grinberg,,27,42,69,28.0,47.0,75.0,5,7.069107005982787E-5,0,9,0,0,75,purple
228,Vikrant Dahiya,,0,1,1,0.0,1.0,1.0,2,1.3162540327839612E-5,0,115,0,0,1,blue
229,Thomas Dupre,,8,6,14,9.0,6.0,15.0,3,4.055406023699526E-5,0,9,0,0,15,red
230,Federico Agustin Gomez,,1,1,2,1.0,1.0,2.0,4,1.4103564445475328E-5,0,9,0,0,2,green
231,Marc Gicquel,,238,141,379,310.0,221.0,531.0,3,0.0012426201515223071,0,9,200,293,38,red
232,Umberto Prezioso,,1,3,4,1.0,3.0,4.0,5,1.4450493581891952E-5,0,9,0,0,4,purple
233,Sam Dowler,,0,5,5,0.0,5.0,5.0,2,1.3162540327839612E-5,0,116,0,0,5,blue
234,Kirill Kivattsev,,2,6,8,2.0,6.0,8.0,0,1.5196084307149393E-5,0,9,0,1,7,dark green
235,Hugo Gallinaro,,0,4,4,0.0,4.0,4.0,5,1.3162540327839612E-5,0,117,0,0,4,purple
236,Harry Cicma,,0,2,2,0.0,2.0,2.0,3,1.3162540327839612E-5,0,119,0,2,0,red
237,Conor Niland,,202,160,362,239.0,193.0,432.0,3,6.681789841596268E-4,0,9,23,205,204,red
238,Patricio Rudi,,0,2,2,0.0,2.0,2.0,4,1.3162540327839612E-5,0,120,0,0,2,green
239,Benjamin Althaus,,0,3,3,0.0,3.0,3.0,3,1.3162540327839612E-5,0,121,0,2,1,red
240,Tyler Chin,,0,1,1,0.0,1.0,1.0,1,1.3162540327839612E-5,0,122,1,0,0,brown
241,Nicolas Almagro,,196,106,302,381.0,244.0,625.0,3,0.0019679207180992955,0,9,600,25,0,red
242,Martin Taipale,,0,1,1,0.0,1.0,1.0,1,1.3162540327839612E-5,0,123,0,0,1,brown
243,Valentin Palas,,3,16,19,3.0,16.0,19.0,0,1.759463910173053E-5,0,9,0,1,18,dark green
